title,industry,salary,requirements_text
Java后端开发工程师（校招）,互联网/软件/企业服务,12-22K,专业技能：掌握Java基础、集合/并发、Spring Boot/Spring MVC/MyBatis，理解MySQL、Redis、Linux、Git；证书要求：软考中级、蓝桥杯、英语四级为加分项；创新能力：能将业务需求抽象为模块并持续优化性能与接口；学习能力：能快速阅读框架文档并完成二次开发；抗压能力：能接受迭代、联调、上线排障节奏；沟通能力：能与前端、测试、产品高效协作；实习能力：有后台管理系统、权限系统、电商/ERP项目经历优先。
前端开发工程师（校招）,互联网/软件/企业服务,10-16K,专业技能：熟悉HTML5/CSS3/JavaScript/TypeScript，掌握Vue或React，了解组件化、工程化、接口联调与性能优化；证书要求：作品集、开源项目、蓝桥杯为加分项；创新能力：能封装通用组件并优化交互体验；学习能力：能快速跟进框架生态与前端工具链；抗压能力：能适应需求频繁迭代与多端兼容问题；沟通能力：能和后端、设计、产品对齐细节；实习能力：有中后台、可视化大屏或小程序项目优先。
C/C++开发工程师（校招）,软件/智能制造/通信电子,12-24K,专业技能：掌握C/C++语法、数据结构、指针/内存管理、多线程与Linux开发，了解网络编程、Qt或嵌入式开发更佳；证书要求：CCPC/ICPC、软考、英语四级为加分项；创新能力：能围绕性能、稳定性和资源占用进行优化；学习能力：能阅读底层代码与技术文档并快速定位问题；抗压能力：能承受调试周期长、问题定位复杂的开发任务；沟通能力：能与测试、硬件、算法团队协同；实习能力：有底层模块、客户端或嵌入式项目经验优先。
软件测试工程师（校招）,互联网/软件/企业服务,8-12K,专业技能：掌握功能测试流程、测试用例设计、缺陷管理，了解接口测试、SQL、Linux、抓包分析；证书要求：ISTQB、软考、软件测试竞赛为加分项；创新能力：能从业务场景中发现边界与异常缺陷；学习能力：能快速理解产品逻辑并补齐测试工具使用；抗压能力：能适应版本密集发布与回归测试压力；沟通能力：能推动缺陷闭环并输出清晰测试报告；实习能力：有Web/App项目测试、接口测试或驻场测试经历优先。
自动化测试工程师,互联网/软件/质量保障,10-18K,专业技能：熟悉Python或Java，了解Selenium/Playwright/Appium，掌握接口自动化、持续集成、测试脚本维护与基础性能测试；证书要求：ISTQB、高级测试证书为加分项；创新能力：能把重复测试场景沉淀为自动化框架；学习能力：能快速掌握新平台、新工具并完成脚本迁移；抗压能力：能在多版本并行情况下保证回归效率；沟通能力：能和研发、测试经理协同制定质量门禁；实习能力：有自动化测试框架或CI集成经验优先。
硬件测试工程师,通信电子/智能硬件/工业控制,7-12K,专业技能：熟悉硬件测试流程，能使用示波器、万用表、频谱仪等仪器，了解板卡、接口、可靠性/环境测试与测试报告编写；证书要求：电子设计竞赛、英语四级为加分项；创新能力：能提出测试改进建议并辅助优化硬件设计；学习能力：能快速掌握新设备、新板卡和新接口特性；抗压能力：能适应长周期测试、联调与问题复测；沟通能力：能与研发、生产、质量团队协同；实习能力：有实验室测试、板卡测试或电子项目经验优先。
实施工程师,企业服务/工业软件/政企信息化,6-10K,专业技能：了解软件部署、系统配置、数据库基础、数据导入导出、客户培训与实施文档编写，熟悉Oracle/MySQL者优先；证书要求：软考、PMP基础认知、GIS/行业软件证书为加分项；创新能力：能结合客户现场问题提出实施优化方案；学习能力：能快速熟悉行业流程和项目交付规范；抗压能力：能接受驻场、出差和项目节点压力；沟通能力：客户沟通、需求澄清和培训表达能力强；实习能力：有驻场实施、售后支持或项目文档经验优先。
技术支持工程师,企业服务/工业软件/IT服务,6-10K,专业技能：熟悉产品部署、故障排查、系统维护、网络与数据库基础，能进行客户问题定位、培训与技术文档输出；证书要求：软考、厂商认证、英语四级为加分项；创新能力：能沉淀常见问题知识库并优化支持流程；学习能力：能快速掌握公司产品、行业知识和运维工具；抗压能力：能适应客户响应时效和多任务并行处理；沟通能力：服务意识强，能清晰解释技术问题；实习能力：有售后支持、驻场维护或Helpdesk经验优先。
AI科研工程师（算法/大数据方向）,AI/科研/高端制造,15-28K,专业技能：掌握Python、机器学习/深度学习基础，熟悉PyTorch/TensorFlow，了解数据处理、模型训练、论文复现与实验记录；证书要求：Kaggle/天池、数学建模、英语六级为加分项；创新能力：能提出实验改进思路并完成算法验证；学习能力：能高效阅读英文论文与技术文档；抗压能力：能适应较长研发周期与反复实验；沟通能力：能把研究结果转化为工程可落地方案；实习能力：有论文复现、竞赛、科研课题或模型部署经验优先。
信息化项目助理,企业服务/政企信息化/软件外包,8-12K,专业技能：了解项目管理流程，能进行进度跟踪、需求整理、会议纪要、文档输出与跨部门协调，熟悉Office、Visio、Project或原型工具；证书要求：PMP基础认知、软考、英语四级为加分项；创新能力：能优化文档模板和项目协同流程；学习能力：能快速理解业务场景与实施节奏；抗压能力：能适应多项目并行与节点交付压力；沟通能力：组织协调和向上汇报能力强；实习能力：有项目助理、PMO、实施支持或招投标文档经验优先。
Java开发实习生,互联网/软件/企业服务,120-180/天,专业技能：掌握Java基础、面向对象、数据库和SQL，了解Spring Boot、Git、Linux常用命令；证书要求：蓝桥杯、计算机二级、英语四级为加分项；创新能力：能主动优化小模块和重复工作；学习能力：能在导师指导下快速完成需求开发与bug修复；抗压能力：能适应实习考核与版本节奏；沟通能力：愿意主动汇报进度和提问；实习能力：每周可稳定到岗，有课程项目、后台系统或接口开发经历优先。
实施工程师（实习）,企业服务/工业软件/政企信息化,120-160/天,专业技能：了解系统安装部署、Excel数据处理、数据库基础、实施文档和客户培训流程；证书要求：英语四级、软考基础为加分项；创新能力：能总结常见现场问题并沉淀模板；学习能力：能快速熟悉软件操作和客户业务流程；抗压能力：能接受项目驻点、出差和现场支持；沟通能力：表达清晰、服务意识强；实习能力：实习期稳定3-6个月，有校内项目、客服支持或实施辅助经历优先。
